"","Protein.Group","Protein.Ids","Protein.Names","Genes","First.Protein.Description","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S1_S1.A1_3763.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S11_S1.A10_3772.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S12_S1.A11_3773.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S13_S1.A12_3774.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S14_S1.B1_3775.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S15_S1.B2_3776.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S18_S1.B4_3778.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S2_S1.A2_3764.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S20_S1.B6_3780.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S22_S1.B8_3782.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S23_S1.B9_3783.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S24_S1.B10_3784.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S25_S1.B11_3785.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S26_S1.B12_3786.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S27_S1.C1_3787.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S28_S1.C2_3788.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S29_S1.C3_3789.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S3_S1.A3_3765.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S30_S1.C4_3790.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S32_S1.C6_3792.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S35_S1.C9_3795.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S37_S1.C10_3796.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S38_S1.C11_3797.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S4_S1.A4_3766.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S5_S1.A5_3767.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S6_S1.A6_3768.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S7_S1.A7_3769.d","C..Users.massspecuser.Desktop.Stijn.240415_VWF_fin.RawFiles.231128_SG_BL_VWF_S9_S1.A8_3770.d"
"24","A1XBS5","A1XBS5","CBAR1_HUMAN","CIBAR1","CBY1-interacting BAR domain-containing protein 1",1891.67,1416.63,2469.78,1254.87,2132.27,1590.19,1970,1739.86,2170.58,1440.66,1477.48,NA,1834.27,2012.74,1601.91,1253.53,1921.14,1751.45,2351.16,2538.94,2135.36,2501.07,2349.97,1435.21,2476.87,2324.19,1616.09,1526.61
"25","A2RRP1","A2RRP1","NBAS_HUMAN","NBAS","NBAS subunit of NRZ tethering complex",19896.4,24513,24545.9,22416,18659.7,26595.4,19301.7,20560.6,19621.3,20671.2,21738.5,19060.3,20730.2,18410.8,19372.6,17349.1,21441.8,17539.2,21573.4,22393.9,20901.2,22366.3,21703.4,20083.7,20794.9,15551.6,22218,23642.5
"26","A2RTX5","A2RTX5","SYTC2_HUMAN","TARS3","Threonine--tRNA ligase 2, cytoplasmic",1023.42,604.06,2255.19,1471.49,863.085,1791.07,2009.68,1741.97,1014.2,894.697,NA,1459.8,704.147,1386.07,1556.23,1257.25,1528.96,1377.03,1398.74,1739.67,1002.32,1463.93,506.81,1394.35,1211.93,1582.14,1257.66,1966.61
"27","A2RU67","A2RU67","F234B_HUMAN","FAM234B","Protein FAM234B",1363.2,1937.97,1123.72,681.76,1908.34,878.744,1785.84,1096.11,2060.13,1190.69,1731.33,5807,1027.99,1258.34,5842.21,1770.78,1068.98,1013.46,1181.22,1348.22,1179.79,1245.61,961.638,1904.59,1891.07,5825.35,1634.77,1313.23
"28","A2RUC4","A2RUC4","TYW5_HUMAN","TYW5","tRNA wybutosine-synthesizing protein 5",7000.75,8958.31,6262.03,5150.46,6832.13,6777.93,5377.79,5752.41,6077.12,7557.87,6044.8,4870.08,6405.7,5702.54,4975.14,5389.64,6715.78,5350.48,6107.55,6322.87,6315.1,6626.64,6183.97,4777.61,5771.29,2730.69,5518.81,6251.82
"29","A2RUS2","A2RUS2","DEND3_HUMAN","DENND3","DENN domain-containing protein 3",16035.5,9405.95,11078,7495.75,12210.4,16661.5,10366,16562.3,8170.6,14654.6,13005.6,5400.73,9288.55,11355.1,11024.2,12711,15542.2,12881.7,20677.5,11052.5,7673.36,16090.8,11503.2,17042.6,10140.8,6857.43,10132.5,10844.4
"30","A2VDJ0","A2VDJ0","T131L_HUMAN","TMEM131L","Transmembrane protein 131-like",2085.88,1385.81,1754.62,1393.2,1404.2,835.306,1476.62,1901.34,1521.26,1104.91,2125.56,1846.73,1187.27,1501.16,1623.02,1436.44,1804.96,1307.79,2035.4,1118.06,1019.72,1499.79,2330.38,1539.35,1047.91,NA,1222.33,1156.85
"31","A3KMH1","A3KMH1","VWA8_HUMAN","VWA8","von Willebrand factor A domain-containing protein 8",20894.5,14363.4,16463.1,18108.5,32185.3,17422.7,14190.7,22209.6,24065.8,14239.5,14347.2,30019.8,13481.8,22378,21669.1,28747.1,21239.6,20237.8,30985.1,21701.5,23307.8,21226.5,18332,21337.3,29754.1,24489.4,23503.1,12514.5
"32","A3KN83","A3KN83","SBNO1_HUMAN","SBNO1","Protein strawberry notch homolog 1",8890.78,4066.37,7720.18,6694.15,8639.46,6506.86,7679.26,10003.3,7392.49,8082.28,8448.06,8700.6,7352.39,10152.2,9128.43,9077.24,7605.22,9840.75,9238.63,7906.34,7294.23,8114.09,7599.03,10367.2,8479.5,7740.9,8809.6,7263.39
"33","A4D1E9","A4D1E9","GTPBA_HUMAN","GTPBP10","GTP-binding protein 10",12607.1,10686.8,12290.1,12048.3,12134.1,12313,13535.3,11748.7,11111.7,11658.5,10433.4,16307.2,10980.9,12150.7,14373.2,12402.8,9761.47,13773.8,12371.9,13496,10989,13425.3,13500.9,12186.6,18386,15348.4,15858.7,13406
"34","A4D1P6","A4D1P6","WDR91_HUMAN","WDR91","WD repeat-containing protein 91",9215.6,7992.11,9629.47,11612.1,9234.11,7368.7,8655.69,11437.6,9867.22,8660.36,9267.64,10700.3,7069.34,14322.5,11243.2,14273.7,9379.21,10135.6,9901.94,9042.63,7524.39,7146.83,9365.32,11084.8,11956.5,8531.04,10140.7,10601.8
"35","A4D1U4","A4D1U4","DEN11_HUMAN","DENND11","DENN domain-containing protein 11",3947.82,3347.9,3262.79,3322.33,2617.41,2175.47,2852.44,3229.47,3226.78,3267.56,3654.62,10923.4,2665.6,3811.9,8167.96,3205.71,3192.85,3474.44,2984,4588.96,1902.12,2655.13,3463.12,3479.72,3411.16,8818.09,3823.5,3175.23
"36","A4D2B0","A4D2B0","MBLC1_HUMAN","MBLAC1","Metallo-beta-lactamase domain-containing protein 1",3063.86,2805.06,2761.95,3115.09,3811.26,2215.35,2526.37,2631.49,3702.3,3225.06,3070.42,3069.82,1943.01,2665.93,3653.24,2851.92,2496.05,2988.08,1965.28,1520.58,2353.14,2322.82,2262.26,2945.26,2204.77,3320.27,3904.27,2802.36
"37","A5D8V6","A5D8V6","VP37C_HUMAN","VPS37C","Vacuolar protein sorting-associated protein 37C",6820.02,6722.95,6285.78,3377.31,9079.03,5475.31,6584.17,10329.8,7799.86,10354.8,10734.5,7786.86,5550.73,12112.7,6807.95,8473.26,7073.95,7752.02,5668.85,8051.35,6856.65,6631.14,13262.7,8885.41,8755.08,9813.52,9237.44,6010.71
"38","A5PLL7","A5PLL7","PDES1_HUMAN","PEDS1","Plasmanylethanolamine desaturase",18296.5,27065.2,22510.7,22637.8,15698.6,22669.2,20864.8,16976,17911.7,11604.4,23333.8,7372.05,15154,14084.1,11821.9,11297.4,15170.1,12791,21176.6,17569.9,20574.1,17250.3,22623.4,15454.7,15916.1,7460.65,15273.8,21947.2
"39","A5PLN9","A5PLN9","TPC13_HUMAN","TRAPPC13","Trafficking protein particle complex subunit 13",10250.7,7813.53,8024.4,10119.4,10161.5,9471.03,9627.15,10404.9,9719.94,9811.48,9557.19,12222.6,8256.7,10002.3,12394.1,9358.1,7894.89,9331.14,9484.85,9402.51,9398.38,9351.55,10375.6,9689.65,9099.44,10017.3,9698.8,9475.24
"40","A5YKK6","A5YKK6","CNOT1_HUMAN","CNOT1","CCR4-NOT transcription complex subunit 1",35309.7,26994.4,30634,32806.3,33136.5,28810.5,33870.7,35698.9,32872.6,32383.6,33264.5,35946.4,31970.5,35423.2,37141.3,35250.8,30818.2,36366,31714.6,34882.1,32761.8,34514,28749.1,35819.6,32991.3,31040.1,36500,35071.9
"41","A6ND36","A6ND36","FA83G_HUMAN","FAM83G","Protein FAM83G",3231.85,6498.42,4973.16,7287.62,3827.88,4234.4,7978.97,3187.97,9888.17,4738.99,4296.92,2461.8,7377.61,2791.85,2433.14,3150.54,4371.74,3430.21,4085.05,3294.65,7803.47,3784.05,4434.81,2692.29,4904.97,2757.85,3431.47,5428.52
"42","A6NDG6","A6NDG6","PGP_HUMAN","PGP","Glycerol-3-phosphate phosphatase",64430.2,66223.9,53594.8,69579.8,68520.4,85127.1,77115.1,63052.7,66590.2,66849.5,67278.7,49859.5,73094.5,55937.2,44763.2,46880.2,55084.9,54553,72890.7,58470.5,78390.5,78678.8,63983.5,56231.3,56304.3,47510.1,61218.3,79644.4
"43","A6NDU8","A6NDU8","RIMC1_HUMAN","RIMOC1","RAB7A-interacting MON1-CCZ1 complex subunit 1",8352.08,6398.4,6662.73,7194.85,8809.82,6551.03,7829.83,8610.84,6749.83,7931.7,8262.61,8071.38,6215,8896.97,8143.62,10397.1,7667.34,8395.75,7216.87,7520.6,9023.04,7432.82,7501.37,8109.39,8545.88,7662.02,8825.44,8225.12
"44","A6NED2","A6NED2","RCCD1_HUMAN","RCCD1","RCC1 domain-containing protein 1",652.893,634.232,937.565,658.953,1156.07,415.917,623.519,851.187,870.548,898.235,212.306,1006.04,470.127,769.971,1579.95,919.562,924.565,584.558,807.067,NA,574.885,810.078,552.288,549.559,410.027,476.789,933.292,452.317
"45","A6NFQ2","A6NFQ2","TCAF2_HUMAN","TCAF2","TRPM8 channel-associated factor 2",30593.2,38549.1,30571.4,39538.7,31422.7,46509.7,54037.6,29905.2,16502.8,37609.1,30401,15950,22438.8,24242.9,27536.4,19537.6,33348.5,27036.4,42346.3,59179.2,61688,33064.2,36710.1,30255.4,22527.9,10702.6,19398,32049.1
"46","A6NFY7","A6NFY7","SDHF1_HUMAN","SDHAF1","Succinate dehydrogenase assembly factor 1, mitochondrial",435.343,NA,NA,79.6021,NA,NA,238.602,229.233,354.714,355.516,379.494,194.289,NA,NA,490.586,NA,136.495,369.866,258.538,NA,NA,330.093,151.358,NA,153.81,NA,NA,338.334
"47","A6NHL2","A6NHL2","TBAL3_HUMAN","TUBAL3","Tubulin alpha chain-like 3",9388.78,13829.6,14985.8,19900.4,9378.23,26988.2,11873.3,11646,9810.57,9226.08,19273.4,13923.5,30547.3,8536.8,13150.1,10604.1,9501.82,8045.86,12214.3,25209.9,13997.3,10595.9,17541.4,15398.4,19070.1,10671.7,12215.6,11372.8
"48","A6NHR9","A6NHR9","SMHD1_HUMAN","SMCHD1","Structural maintenance of chromosomes flexible hinge domain-containing protein 1",8304.95,4679.62,6578.98,5933.47,8994.96,5097.76,6836.15,8826.83,6390.44,5020.94,6103.89,8633.9,4550.03,8833.74,10599,9282.9,7928.18,9792.31,8487.05,5565.37,8306.82,6718.36,7282.43,10008.4,8490.27,7740.9,7891.9,7157.37
"49","A6NHX0","A6NHX0","CAST2_HUMAN","CASTOR2","Cytosolic arginine sensor for mTORC1 subunit 2",5030.04,4989.43,6611.38,6004.67,5391.54,3755.63,5220.29,7077.65,7246.44,5020.92,5948.75,5615.84,4363.47,7705.53,6074.77,5100,4811.05,5195.66,6506.21,5139.36,4187.62,4843.94,4683.36,5041.92,5035.81,4966.35,6207.19,6376.14
"50","A6NIH7","A6NIH7","U119B_HUMAN","UNC119B","Protein unc-119 homolog B",13253.4,15052.4,13075.2,12958.5,12119.2,16647,11774.1,12755.8,12712.7,12187.4,12979.4,10407.1,14740.4,12394.4,9204.14,11607.5,13268.3,12160.6,13422.4,13794.7,13082.5,13894.2,11919,13390,12511,8907.57,12608.1,14726.7
"51","A6NIX2","A6NIX2","WTIP_HUMAN","WTIP","Wilms tumor protein 1-interacting protein",771.205,NA,NA,449.052,519.516,NA,356.975,467.053,249.534,792.524,450.21,257.546,NA,1004.45,587.847,824.192,254.871,803.405,361.005,587.746,927.227,470.071,829.825,360.361,783.019,599.595,674.424,395.018
"52","A6NJ78","A6NJ78","MET15_HUMAN","METTL15","12S rRNA N4-methylcytidine (m4C) methyltransferase",5724.56,3361.28,3396.78,4316.75,4831.2,4233.59,5423.69,5217.99,4396.21,5295.76,5062.75,7791.11,4637.4,4364.26,4365.86,5265.83,3942.77,5314.85,4909.57,5537.94,4239.4,5482.81,4990.54,3812.29,4955.82,5805,5486.77,5382.33
"53","A6NKD9","A6NKD9","CC85C_HUMAN","CCDC85C","Coiled-coil domain-containing protein 85C",1974.85,1946.8,2547.88,1220.97,2084.51,766.565,1851.91,2659.84,1723.52,1635.76,1790.02,NA,2689.77,1882.11,1850.43,3209.49,1695.85,2793.83,2035.08,1877.84,2540.63,2400.48,1590.04,2663.42,2195.85,NA,2170.99,2768.79
"54","A6NKF1","A6NKF1","SAC31_HUMAN","SAC3D1","SAC3 domain-containing protein 1",1069.66,NA,1251.84,1545.76,1509.81,1219.97,1996.98,2226.4,NA,1585.16,1421.32,829.764,1609.96,1160.21,951.468,1230.65,1355.22,1533.17,1273.93,1848.01,1949.14,1696.94,1448.41,1374.64,888.697,1227.3,1886.76,1788.25
"55","A6NMK8","A6NMK8","INY2B_HUMAN","INSYN2B","Protein INSYN2B",350.613,1270.79,1284.55,2093.47,NA,1580.26,678.731,NA,762.927,884.699,337.719,NA,886.271,130.106,NA,380.402,872.88,835.886,682.985,536.976,1528.29,1478.71,918.301,NA,837.006,NA,583.12,1030.39
